Country Code,LIFEEXP
ABW,75.867
AFG,63.673
AGO,61.547
ALB,78.345
AND,
ARB,71.19845637
ARE,77.256
ARG,76.577
ARM,74.618
ASM,
ATG,76.364
AUS,82.5
AUT,80.8902439
AZE,72.026
BDI,57.481
BEL,80.99268293
BEN,60.907
BFA,60.361
BGD,72.489
BGR,74.61463415
BHR,76.9
BHS,75.675
BIH,76.911
BLR,73.82682927
BLZ,70.384
BMU,81.22707317
BOL,69.125
BRA,75.509
BRB,75.906
BRN,77.203
BTN,70.197
BWA,66.797
CAF,52.171
CAN,82.3005122
CEB,76.60313013
CHE,82.89756098
CHI,81.107
CHL,79.522
CHN,76.252
CIV,53.582
CMR,58.073
COD,59.621
COG,64.625
COL,74.381
COM,63.701
CPV,72.798
CRI,79.831
CSS,73.1924085
CUB,79.742
CUW,77.87317073
CYM,
CYP,80.508
CZE,78.33170732
DEU,80.64146341
DJI,62.465
DMA,
DNK,80.70487805
DOM,73.861
DZA,76.078
EAP,74.49253256
EAR,69.76627113
EAS,75.39573164
ECA,72.81472314
ECS,77.28144604
ECU,76.327
EGY,71.484
EMU,81.5599298
ERI,65.092
ESP,82.83170732
EST,77.73658537
ETH,65.475
EUU,80.62039806
FCS,62.56940239
FIN,81.7804878
FJI,70.269
FRA,82.27317073
FRO,82.24146341
FSM,69.195
GAB,66.105
GBR,80.95609756
GEO,73.261
GHA,62.742
GIB,
GIN,60.015
GMB,61.193
GNB,57.403
GNQ,57.681
GRC,81.03658537
GRD,73.659
GRL,
GTM,73.409
GUM,79.575
GUY,66.65
HIC,80.37014646
HKG,84.22682927
HND,73.575
HPC,62.08175389
HRV,78.02195122
HTI,63.33
HUN,75.56829268
IBD,72.76270933
IBT,70.46864944
IDA,63.62071912
IDB,61.66244827
IDN,69.191
IDX,64.58966602
IMN,
IND,68.56
INX,
IRL,81.60731707
IRN,75.953
IRQ,69.862
ISL,82.46829268
ISR,82.40731707
ITA,82.54390244
JAM,75.97
JOR,74.329
JPN,83.98487805
KAZ,72.3
KEN,67.032
KGZ,70.95121951
KHM,68.981
KIR,66.317
KNA,
KOR,82.02439024
KWT,74.694
LAC,75.28667364
LAO,66.683
LBN,79.584
LBR,62.505
LBY,71.934
LCA,75.496
LCN,75.54005062
LDC,64.44519781
LIC,62.93547351
LIE,82.65609756
LKA,75.284
LMC,67.8822079
LMY,70.36682416
LSO,54.174
LTE,75.71565922
LTU,74.32195122
LUX,82.29268293
LVA,74.52926829
MAC,83.849
MAF,79.62195122
MAR,75.821
MCO,
MDA,71.61
MDG,65.932
MDV,77.339
MEA,73.4917998
MEX,77.118
MHL,
MIC,71.33372504
MKD,75.703
MLI,57.966
MLT,81.79756098
MMR,66.612
MNA,72.99192022
MNE,77.116
MNG,69.287
MNP,
MOZ,58.311
MRT,63.238
MUS,74.39487805
MWI,63.223
MYS,75.3
NAC,79.05465211
NAM,64.388
NCL,76.96150074
NER,60.058
NGA,53.428
NIC,75.404
NLD,81.5097561
NOR,82.5097561
NPL,70.253
NRU,
NZL,81.61243902
OED,80.1110227
OMN,77.029
OSS,67.69503128
PAK,66.481
PAN,78.001
PER,74.983
PHL,69.094
PLW,
PNG,65.544
POL,77.45121951
PRE,59.96143906
PRI,79.78831707
PRK,71.685
PRT,81.12682927
PRY,73.12
PSE,73.473
PSS,70.89537639
PST,80.45602286
PYF,76.813
QAT,78.184
ROU,75.01219512
RUS,71.59292683
RWA,67.129
SAS,68.71053305
SAU,74.561
SDN,64.486
SEN,67.146
SGP,82.79512195
SLB,70.726
SLE,51.835
SLV,73.512
SMR,
SOM,56.293
SRB,75.23902439
SSA,60.3935628
SSD,56.811
SSF,60.39483799
SST,68.87448751
STP,66.624
SUR,71.405
SVK,76.56341463
SVN,80.77560976
SWE,82.20487805
SWZ,57.754
SXM,
SYC,74.3097561
SYR,70.31
TCA,
TCD,52.903
TEA,74.527656
TEC,73.24905322
TGO,60.232
THA,75.303
TJK,71.051
TKM,67.835
TLA,75.43739896
TLS,68.881
TMN,72.98598886
TON,73.029
TSA,68.71053305
TSS,60.39483799
TTO,70.673
TUN,75.731
TUR,75.755
TUV,
TZA,65.675
UGA,59.889
UKR,71.47634146
UMC,75.29062097
URY,77.493
USA,78.6902439
UZB,71.314
VCT,73.179
VEN,74.545
VGB,
VIR,79.26829268
VNM,76.253
VUT,72.133
WLD,72.03533693
WSM,75.013
XKX,71.64634146
YEM,64.953
ZAF,62.774
ZMB,61.874
ZWE,61.163
